code,name,price,pe,change_pct,roe,net_profit_growth,revenue_growth,growth_raw,value_raw,momentum_raw,growth_score,value_score,momentum_score,total_cp
sh600776,东方通信,15.09,46.04,1.8906144496961468,3.8,955.645,-5.562,475.0415,0.08253692441355343,1.8906144496961468,100.0,69.38775510204081,85.71428571428571,86.53061224489795
sh600284,浦东建设,7.27,19.97,5.362318840579698,1.91,22.3693,52.5179,37.443599999999996,0.0956434651977967,5.362318840579698,81.63265306122449,73.46938775510205,95.91836734693877,83.46938775510203
sz301032,新柴股份,12.12,31.91,1.5075376884422087,1.15,684.25,-8.194,338.028,0.03603885929175807,1.5075376884422087,97.95918367346938,63.26530612244898,79.59183673469387,82.04081632653062
sz301283,聚胶股份,45.03,23.67,0.5133928571428661,2.03,107.1507,24.6579,65.9043,0.08576256865230247,0.5133928571428661,95.91836734693877,71.42857142857143,61.224489795918366,78.16326530612244
sz003010,若羽臣,32.09,51.35,1.486401012017718,1.22,86.3991,31.6827,59.0409,0.023758519961051605,1.486401012017718,91.83673469387756,55.10204081632652,77.55102040816327,76.53061224489795
sz002327,富安娜,6.93,14.21,1.7621145374449354,3.07,10.2376,5.1952,7.7164,0.2160450387051372,1.7621145374449354,59.183673469387756,85.71428571428571,83.6734693877551,74.48979591836735
sh601333,广深铁路,3.13,16.96,0.9677419354838646,2.03,35.0231,7.3905,21.2068,0.11969339622641507,0.9677419354838646,69.38775510204081,81.63265306122449,71.42857142857143,73.6734693877551
sz002997,瑞鹄模具,29.62,13.7,-0.9033121445299417,3.89,89.7593,31.6778,60.71855,0.2839416058394161,-0.9033121445299417,93.87755102040816,89.79591836734694,28.57142857142857,73.06122448979592
sz002807,江阴银行,4.54,5.11,0.4424778761062049,2.02,13.1826,0.0,6.5913,0.3953033268101761,0.4424778761062049,57.14285714285714,100.0,59.183673469387756,70.61224489795919
sh603568,伟明环保,25.85,16.21,-1.6736401673640082,6.12,41.4504,50.8872,46.168800000000005,0.3775447254780999,-1.6736401673640082,87.75510204081633,97.95918367346938,18.367346938775512,70.0
sz300920,润阳科技,43.67,124.95,9.69605626726953,1.14,0.0,45.8362,22.9181,0.009123649459783913,9.69605626726953,71.42857142857143,36.734693877551024,100.0,69.59183673469389
sh600035,楚天高速,3.87,9.25,0.5194805194805199,3.31,-18.8812,28.4694,4.7941,0.35783783783783785,0.5194805194805199,53.06122448979592,95.91836734693877,63.26530612244898,68.9795918367347
sh603179,新泉股份,66.21,41.44,0.0,4.01,32.021,40.236,36.1285,0.09676640926640927,0.0,79.59183673469387,77.55102040816327,38.775510204081634,66.73469387755102
sz000933,神火股份,31.8,17.86,4.193971166448234,5.2,-31.046,-13.5703,-22.308149999999998,0.29115341545352746,4.193971166448234,26.53061224489796,91.83673469387756,93.87755102040816,66.32653061224491
sh600197,伊力特,11.99,31.17,0.3347280334728111,3.99,6.1252,12.3905,9.25785,0.12800769971126083,0.3347280334728111,61.224489795918366,83.6734693877551,55.10204081632652,66.12244897959184
sh688278,特宝生物,65.24,25.82,-3.9316742747754407,6.42,53.027,30.0485,41.53775,0.24864446165762974,-3.9316742747754407,85.71428571428571,87.75510204081633,4.081632653061225,61.83673469387755
sh601225,陕西煤业,26.27,15.39,0.5742725880551247,4.9,-28.7444,-9.7299,-19.23715,0.3183885640025991,0.5742725880551247,30.612244897959183,93.87755102040816,65.3061224489796,60.0
sh603569,长久物流,6.94,62.62,1.0189228529839924,0.5,28.919,2.2316,15.5753,0.007984669434685404,1.0189228529839924,67.3469387755102,34.69387755102041,73.46938775510205,59.38775510204081
sh688230,芯导科技,62.27,68.98,-0.3361075544174036,1.09,53.6724,26.9837,40.328050000000005,0.015801681646854162,-0.3361075544174036,83.6734693877551,44.89795918367347,34.69387755102041,57.3469387755102
sh605108,同庆楼,16.51,91.55,0.06060606060607008,2.86,-8.8399,28.0097,9.5849,0.0312397596941562,0.06060606060607008,63.26530612244898,61.224489795918366,42.857142857142854,56.53061224489796
sh600648,外高桥,10.33,14.95,0.7804878048780495,0.31,21.0049,-15.3078,2.8485499999999995,0.020735785953177256,0.7804878048780495,51.02040816326531,48.97959183673469,69.38775510204081,55.91836734693878
sh603977,国泰集团,17.0,69.38,0.0,1.48,24.4831,5.2754,14.87925,0.021331795906601326,0.0,65.3061224489796,51.02040816326531,38.775510204081634,53.06122448979592
sz300434,金石亚药,9.96,30.69,0.40322580645162226,3.61,-37.1615,-13.5789,-25.370199999999997,0.11762789182144019,0.40322580645162226,24.489795918367346,79.59183673469387,57.14285714285714,50.816326530612244
sh600605,汇通能源,28.27,241.8,-0.4927842309046131,0.87,72.8488,34.9978,53.9233,0.0,-0.4927842309046131,89.79591836734694,15.306122448979592,32.6530612244898,50.30612244897959
sz300170,汉得信息,19.22,99.31,-1.1825192802056577,1.03,56.0696,1.6332,28.8514,0.01037156379015205,-1.1825192802056577,77.55102040816327,38.775510204081634,24.489795918367346,50.0
sh601999,出版传媒,8.1,32.99,2.0151133501259353,-0.3,0.0,1.1958,0.5979,-0.009093664746892997,2.0151133501259353,48.97959183673469,8.16326530612245,87.75510204081633,48.36734693877551
sz002806,华锋股份,12.86,38.87,-0.7716049382716158,0.31,0.0,47.1365,23.56825,0.007975302289683562,-0.7716049382716158,73.46938775510205,32.6530612244898,30.612244897959183,48.36734693877551
sh603499,翔港科技,21.77,51.53,-1.71557562076749,0.73,43.8036,10.9502,27.376900000000003,0.014166504948573647,-1.71557562076749,75.51020408163265,42.857142857142854,16.3265306122449,47.95918367346939
sh601177,杭齿前进,14.36,22.61,0.0696864111498243,2.17,-19.753,-22.3382,-21.0456,0.09597523219814241,0.0696864111498243,28.57142857142857,75.51020408163265,44.89795918367347,47.55102040816326
sz001316,润贝航科,47.27,40.45,-1.2121212121212084,1.73,-21.0221,21.0606,0.01925000000000132,0.04276885043263288,-1.2121212121212084,46.93877551020408,65.3061224489796,22.448979591836736,45.102040816326536
sh601155,新城控股,14.48,48.02,2.5495750708215383,0.38,-60.165,-11.6613,-35.91315,0.007913369429404415,2.5495750708215383,20.408163265306122,30.612244897959183,91.83673469387756,44.89795918367347
sz002888,惠威科技,18.66,163.32,0.7559395248380161,-0.84,0.0,-3.891,-1.9455,-0.005143277002204262,0.7559395248380161,42.857142857142854,10.204081632653061,67.3469387755102,40.408163265306115
sh600416,湘电股份,12.83,67.21,0.15612802498048065,0.83,-39.7776,9.5103,-15.13365,0.01234935277488469,0.15612802498048065,32.6530612244898,40.816326530612244,48.97959183673469,40.0
sz300548,长芯博创,159.31,138.72,5.713337757133387,0.0,-64.5748,-20.4855,-42.53015,0.0,5.713337757133387,12.244897959183673,15.306122448979592,97.95918367346938,38.87755102040816
sz000090,天健集团,3.61,21.61,0.27777777777777185,0.67,-66.4345,-14.787,-40.61075,0.031004164738546974,0.27777777777777185,14.285714285714285,59.183673469387756,51.02040816326531,38.775510204081634
sz300138,晨光生物,13.09,17.39,0.0,1.15,-76.4237,-4.7053,-40.564499999999995,0.06612995974698102,0.0,16.3265306122449,67.3469387755102,38.775510204081634,38.367346938775505
sz002044,美年健康,5.72,72.35,1.060070671378085,-3.86,0.0,-14.0409,-7.02045,-0.05335176226675881,1.060070671378085,36.734693877551024,2.0408163265306123,75.51020408163265,37.95918367346938
sz000410,沈阳机床,6.59,227.22,0.15197568389057428,-4.04,0.0,-1.969,-0.9845,0.0,0.15197568389057428,44.89795918367347,15.306122448979592,46.93877551020408,36.63265306122449
sz000716,黑芝麻,5.36,94.28,1.5151515151515165,0.13,-75.5326,-25.7031,-50.617850000000004,0.0013788714467543486,1.5151515151515165,6.122448979591836,20.408163265306122,81.63265306122449,33.06122448979592
sz000061,农 产 品,7.48,44.62,-3.732303732303722,1.33,1.1687,-15.3457,-7.088500000000001,0.029807261317794716,-3.732303732303722,34.69387755102041,57.14285714285714,6.122448979591836,32.857142857142854
sh605567,春雪食品,11.14,56.19,2.295684113865932,-0.56,-170.8798,-23.2379,-97.05884999999999,-0.009966186154119951,2.295684113865932,4.081632653061225,6.122448979591836,89.79591836734694,30.408163265306122
sz002896,中大力德,75.52,203.8,-2.0492866407263275,1.45,8.3978,1.7874,5.0926,0.0,-2.0492866407263275,55.10204081632652,15.306122448979592,12.244897959183673,30.30612244897959
sz300259,新天科技,4.64,21.66,-1.486199575371556,0.51,-68.2288,-9.9462,-39.087500000000006,0.023545706371191133,-1.486199575371556,18.367346938775512,53.06122448979592,20.408163265306122,29.387755102040817
sz002337,赛象科技,6.13,83.33,0.3273322422258522,0.46,-81.92,-14.8594,-48.389700000000005,0.005520220808832354,0.3273322422258522,10.204081632653061,26.53061224489796,53.06122448979592,27.959183673469386
sz002526,山东矿机,3.59,56.36,-1.9125683060109366,0.96,-31.1534,-20.4365,-25.79495,0.017033356990773598,-1.9125683060109366,22.448979591836736,46.93877551020408,14.285714285714285,27.346938775510203
sz300222,科大智能,10.91,105.12,-2.064631956912032,0.64,0.0,-11.5044,-5.7522,0.0060882800608828,-2.064631956912032,38.775510204081634,28.57142857142857,10.204081632653061,27.142857142857146
sh688519,南亚新材,132.72,129.65,-4.463000287935494,0.42,0.0,-5.768,-2.884,0.0032394909371384496,-4.463000287935494,40.816326530612244,22.448979591836736,2.0408163265306123,23.6734693877551
sz300232,洲明科技,6.98,77.18,-0.992907801418431,0.41,-91.4304,-8.3138,-49.8721,0.005312257061414873,-0.992907801418431,8.16326530612245,24.489795918367346,26.53061224489796,18.57142857142857
sz300850,新强联,43.21,21.87,-2.106932487539646,-1.03,-203.6741,-11.7576,-107.71585,-0.04709647919524462,-2.106932487539646,2.0408163265306123,4.081632653061225,8.16326530612245,4.4897959183673475
